City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Kutum,SD,79.12,broken clouds,14.2,24.67,Dibbo areaمنطقة دبو
3,Pochutla,MX,75.2,mist,15.74,-96.47,Hotel Posada San Jose
4,Hithadhoo,MV,79.48,overcast clouds,-0.6,73.08,Scoop Guest House
6,Kroya,ID,75.56,broken clouds,-7.63,109.25,RUSTANTO Fam
16,Bengkulu,ID,76.26,scattered clouds,-3.8,102.27,Grage Hotel Bengkulu
19,Oistins,BB,87.8,scattered clouds,13.07,-59.53,Butterfly Beach Hotel
27,Cabo San Lucas,MX,79.0,overcast clouds,22.89,-109.91,Hotel Tesoro Los Cabos
29,Ixtapa,MX,82.99,overcast clouds,20.7,-105.2,Container Inn Puerto Vallarta
31,Castro,BR,77.14,clear sky,-24.79,-50.01,CHACARA BAILLY
33,San Cristobal,VE,89.6,few clouds,7.77,-72.22,Pirineos
36,Alepe,CI,78.8,broken clouds,5.5,-3.66,BENENE 1
37,Tuy Hoa,VN,79.29,overcast clouds,13.08,109.3,CenDeluxe Hotel Tuy Hoa
40,Kalmunai,LK,81.0,scattered clouds,7.42,81.82,VS Villa
48,Indianapolis,US,84.2,broken clouds,39.77,-86.16,Hilton Indianapolis Hotel & Suites
52,Mogadishu,SO,77.56,light rain,2.04,45.34,Hotel Juba
54,Bethel,US,81.0,overcast clouds,41.37,-73.41,Courtyard by Marriott Danbury
55,Garmsar,IR,75.79,clear sky,35.22,52.34,Peyvand Hotel
58,Atuona,PF,77.88,light rain,-9.8,-139.03,Villa Enata
65,Ribeira Grande,PT,77.0,scattered clouds,38.52,-28.7,Quinta da Meia Eira
70,Venkatagiri,IN,85.44,overcast clouds,13.97,79.58,Vamsi Guest House
71,Sao Filipe,CV,79.03,light rain,14.9,-24.5,Tortuga B&B
74,Nouadhibou,MR,84.2,clear sky,20.93,-17.03,El Medina
76,Tateyama,JP,82.0,clear sky,34.98,139.87,Tateyama Seaside Hotel
80,Fukue,JP,81.88,clear sky,32.69,128.84,Goto Guesthouse Utojuku & SA Car Rental
84,Ushibuka,JP,79.97,few clouds,32.19,130.02,Hotei
87,Port Blair,IN,82.18,overcast clouds,11.67,92.75,Fortune Resort Bay Island
97,Karratha,AU,77.49,clear sky,-20.74,116.85,ibis Styles Karratha
99,Butaritari,KI,82.49,overcast clouds,3.07,172.79,Isles Sunset Lodge
105,Les Cayes,HT,89.29,clear sky,18.2,-73.75,Villa Orphee
106,Maragogi,BR,79.09,broken clouds,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
110,Lazaro Cardenas,MX,83.44,overcast clouds,17.96,-102.2,Collection O Hotel Quinta Antigua
121,Kulhudhuffushi,MV,82.92,light rain,6.62,73.07,Haajy Guest House 1
122,Victoria,HK,84.0,broken clouds,22.29,114.16,Mini Hotel Central
123,Vila Velha,BR,77.0,scattered clouds,-20.33,-40.29,Hotel Vitória Palace
126,Road Town,VG,87.8,few clouds,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
127,Kismayo,SO,77.99,few clouds,-0.36,42.55,Agan-Hotel
133,Santa Cruz De La Palma,ES,82.0,clear sky,28.68,-17.76,H10 Taburiente Playa
134,Hirara,JP,83.05,overcast clouds,24.8,125.28,Hotel Atoll Emerald Miyakojima
136,Paita,PE,77.0,scattered clouds,-5.09,-81.11,Hotel Náutico de Paita
140,Faanui,PF,76.51,scattered clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
143,Amalapuram,IN,82.4,scattered clouds,16.58,82.02,swayamprabha service apartments
144,Matay,EG,87.91,clear sky,28.42,30.78,Nag Aespen
151,Bubaque,GW,80.96,light rain,11.28,-15.83,Casa Dora
153,Praia,CV,84.2,scattered clouds,14.92,-23.51,LT Aparthotel
154,Palmer,US,78.01,broken clouds,42.16,-72.33,Wedgewood Motel
158,Samarai,PG,78.24,light rain,-10.62,150.67,Nuli Sapi
160,Lokoja,NG,76.26,moderate rain,7.8,6.74,Hotel Charvid
162,Concordia,AR,75.0,overcast clouds,-31.39,-58.02,Palmar Hotel Casino
163,Vila Franca Do Campo,PT,77.0,few clouds,37.72,-25.43,Pestana Bahia Praia
167,Nanchang,CN,75.51,light rain,28.68,115.88,Ruidu Hotel
170,Salalah,OM,75.2,drizzle,17.02,54.09,HAMDAN PLAZA HOTEL
172,Georgetown,MY,82.4,few clouds,5.41,100.34,Cititel Penang
177,Hambantota,LK,80.85,overcast clouds,6.12,81.12,Bungalow 63
180,San Quintin,MX,78.76,clear sky,30.48,-115.95,Old Mill Hotel
181,Arraial Do Cabo,BR,78.8,clear sky,-22.97,-42.03,Pousada Porto Praia
182,Ponta Do Sol,PT,79.0,clear sky,32.67,-17.1,Hotel do Campo
184,Hobyo,SO,77.14,broken clouds,5.35,48.53,Osmani Hotel
187,Banda Aceh,ID,80.71,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
189,Auki,SB,77.59,overcast clouds,-8.77,160.7,Auki Motel
190,Sanawad,IN,76.42,overcast clouds,22.18,76.07,Geeta shree
193,Manggar,ID,81.43,broken clouds,-2.88,108.27,Guest Hotel
195,Yilan,TW,82.4,few clouds,24.76,121.75,Dar Chen Hotel
204,Ozuluama,MX,89.08,clear sky,21.67,-97.85,Pailon Quil
208,Takoradi,GH,76.62,scattered clouds,4.88,-1.76,Raybow International Hotel
212,Embonas,GR,82.4,clear sky,36.23,27.86,Hotel Ataviros
213,Senador Jose Porfirio,BR,88.86,broken clouds,-2.59,-51.95,MORADA DO SOL pousada
215,Dakar,SN,87.8,scattered clouds,14.69,-17.44,Novotel Dakar
216,Cururupu,BR,85.06,broken clouds,-1.83,-44.87,Pousada Través'cia
217,Bairiki,KI,82.4,broken clouds,1.33,172.98,Tarawa Boutique Hotel
218,Kavieng,PG,81.23,light rain,-2.57,150.8,Nusa Island Retreat
220,Bentiu,SS,75.88,scattered clouds,9.23,29.83,Mandela hôtel
221,Tabora,TZ,84.2,few clouds,-5.02,32.8,Barcelona Lodge
226,Goderich,CA,77.0,scattered clouds,43.75,-81.72,Harmony Inn
227,French Harbor,HN,89.6,broken clouds,16.35,-86.43,"Fantasy Island Beach Resort, Dive & Marina"
232,Seoul,KR,80.6,broken clouds,37.57,126.98,LOTTE HOTEL SEOUL
233,Diego De Almagro,CL,75.34,clear sky,-26.37,-70.05,hotel luna del desierto
234,Kirkuk,IQ,84.87,clear sky,35.47,44.39,فندق التأميم
236,Los Llanos De Aridane,ES,82.0,few clouds,28.66,-17.92,Valle Aridane
239,Makat,KZ,82.06,overcast clouds,47.65,53.35,Gostinitsa Daulet
240,Hope,US,89.01,broken clouds,33.67,-93.59,Best Western Hope
242,Xuddur,SO,80.87,scattered clouds,4.12,43.89,Banjanay Hotel
248,Kandrian,PG,75.72,overcast clouds,-6.22,149.55,Kandrian Station
249,Tomatlan,MX,85.48,overcast clouds,19.93,-105.25,Norma franco
251,Mexico,PH,84.99,broken clouds,15.06,120.72,Maharlika Hostel
252,Karpathos,GR,77.0,few clouds,35.51,27.21,Alex
257,Melfi,IT,84.2,few clouds,41.0,15.65,HOTEL TERME DI RAPOLLA
259,San Vicente,AR,86.04,clear sky,-26.62,-54.13,Complejo Turístico Farelluk
260,Broome,US,75.99,scattered clouds,42.25,-75.83,Chenango Valley State Park
266,Kijang,KR,78.8,light rain,35.24,129.21,Brown Dot Gijang Yeonhwari
270,Galle,LK,81.28,scattered clouds,6.04,80.22,CocoBay Unawatuna
272,Manicore,BR,84.6,overcast clouds,-5.81,-61.3,Pousada da wanda
273,Manono,CD,77.7,light rain,-7.3,27.42,Hotel hewa bora
274,Lardos,GR,82.4,clear sky,36.09,28.02,Lindos Princess Beach Hotel
279,Maumere,ID,77.14,clear sky,-8.62,122.21,Sylvia Hotel
280,Nizwa,OM,87.28,overcast clouds,22.93,57.53,Orient Apartments
286,Karimpur,IN,79.66,overcast clouds,23.97,88.62,gabrudanga jumma masjid
288,San Andres,CO,87.8,scattered clouds,12.58,-81.7,Hotel Arena Blanca
292,Sioni,GE,77.0,few clouds,41.99,45.02,საოჯახო სასტუმრო სიონში
294,Katsuura,JP,84.2,scattered clouds,35.13,140.3,Katsuura Hotel Mikazuki
301,Bar Harbor,US,75.0,clear sky,44.39,-68.2,Atlantic Oceanside Hotel & Event Center
302,Taft,IR,84.2,clear sky,31.75,54.21,بوم گردی حاجی زینل تفت
305,Sompeta,IN,81.43,broken clouds,18.93,84.6,V.B.R A/C Lodge And Function Hall
306,Fairview,US,87.01,few clouds,40.81,-74.0,Homewood Suites by Hilton Edgewater-NYC Area
307,Sao Joao Da Barra,BR,78.8,scattered clouds,-21.64,-41.05,Pousada Porto De Canoas
310,Aquiraz,BR,84.2,few clouds,-3.9,-38.39,Hotel Laguna Blu
311,Mandalgarh,IN,79.36,overcast clouds,25.2,75.1,दुर्गा टेंट हाऊस
313,Kankon,IN,80.6,broken clouds,15.02,74.02,Palolem Beach Resort
317,Umm Lajj,SA,85.14,clear sky,25.02,37.27,Moon light Furnished Units
318,Kununurra,AU,80.6,clear sky,-15.77,128.73,Hotel Kununurra
321,Bathsheba,BB,87.8,scattered clouds,13.22,-59.52,Atlantis Hotel
327,Gat,IL,82.99,clear sky,31.61,34.76,רגע בנחת
333,Bogale,MM,78.4,overcast clouds,16.28,95.4,Aung Pin Lel Guest House
336,Garchitorena,PH,81.48,overcast clouds,13.88,123.69,Cabinitan beach Resort
341,Huilong,CN,82.99,light rain,31.81,121.66,Hilton Garden Inn Qidong
349,Grafton,US,77.0,few clouds,42.21,-71.69,The Grafton Inn
352,Sibolga,ID,76.64,light rain,1.74,98.78,Hotel Syariah CN Darussalam
355,Palafrugell,ES,78.01,scattered clouds,41.92,3.16,Hotel Garbi
358,Westport,US,84.99,broken clouds,41.14,-73.36,The Westport Inn
360,Dingle,PH,75.87,overcast clouds,11.0,122.67,Camp Pasica
361,Presidencia Roque Saenz Pena,AR,79.63,overcast clouds,-26.79,-60.44,Hotel Aconcagua
363,Pombas,CV,86.0,few clouds,17.15,-25.02,POUSADA O RECANTO
365,Manaus,BR,89.6,broken clouds,-3.1,-60.02,Hotel do Largo
374,Bonthe,SL,77.34,light rain,7.53,-12.51,Bonthe Holiday Village
375,Hamilton,US,84.99,thunderstorm,39.18,-84.53,Six Acres Bed & Breakfast
377,La Cruz,MX,81.03,overcast clouds,23.92,-106.9,LIBERADOR DE CELULAS MADRE ADULTAS
378,George Town,MY,82.4,few clouds,5.41,100.34,Cititel Penang
379,Ambon,ID,79.0,scattered clouds,-3.7,128.18,Swiss-Belhotel Ambon
384,Russell,US,87.8,few clouds,32.35,-85.2,Macs
386,Starkville,US,89.01,scattered clouds,33.45,-88.82,Hilton Garden Inn Starkville
391,Cabedelo,BR,84.2,scattered clouds,-6.98,-34.83,Lua Mansa Pousada
392,Shelburne,CA,79.0,scattered clouds,44.08,-80.2,The Retreat at the Farm
393,Todos Santos,MX,75.99,overcast clouds,23.45,-110.22,Hotel California Todos Santos
397,Belmonte,BR,77.0,few clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
398,Midyat,TR,80.6,clear sky,37.42,41.34,Hotel Kasr-i Nehroz
399,Qui Nhon,VN,80.02,overcast clouds,13.77,109.23,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
400,Bodden Town,KY,89.6,few clouds,19.28,-81.25,Will T Place
404,Shenjiamen,CN,79.5,overcast clouds,29.96,122.3,Jinjiang Inn Zhoushan Putuo Shenjiamen
407,Paramirim,BR,88.39,clear sky,-13.44,-42.24,Pousada Rio Pequeno
408,Kudat,MY,77.0,scattered clouds,6.88,116.85,Dream Garden Hotel
410,Caravelas,BR,77.43,clear sky,-17.71,-39.25,Pousada dos Navegantes
412,Dwarka,IN,82.36,overcast clouds,22.24,68.97,Hotel Narayan Avezika Comfort
416,Puerto Penasco,MX,90.0,broken clouds,31.32,-113.53,Playa Bonita Resort
417,Quelimane,MZ,77.0,clear sky,-17.88,36.89,Hotel Flamingo
425,Santo Augusto,BR,80.6,clear sky,-27.85,-53.78,Hotel Marco Polo
427,Marsh Harbour,BS,85.21,light rain,26.54,-77.06,Abaco Beach Resort
428,Devavanya,HU,80.6,scattered clouds,47.03,20.97,Alföldi Vendégház
431,Hungund,IN,75.07,overcast clouds,16.07,76.05,B S Hosur Rrt PDO
440,Camacha,PT,75.2,scattered clouds,33.08,-16.33,Hotel Porto Santo & Spa
443,Abu Kamal,SY,88.88,clear sky,34.45,40.92,محطة التلفاز
448,Tondano,ID,75.2,few clouds,1.3,124.91,Villa Bella
452,Quechultenango,MX,84.97,clear sky,17.42,-99.22,Baños publicos y casa de hospedaje popolutla
453,Kamaishi,JP,78.57,clear sky,39.27,141.88,Hotel Route Inn Kamaishi
454,Assai,BR,87.8,clear sky,-23.37,-50.84,Hotel Sol Nascente
459,San-Pedro,CI,77.09,overcast clouds,4.75,-6.64,Hotel Maria
463,Touros,BR,84.2,scattered clouds,-5.2,-35.46,INN NEW HORIZON
465,Caraballeda,VE,82.99,few clouds,10.61,-66.85,Hotel 15 Letras
466,Padang,ID,77.81,broken clouds,-0.95,100.35,Mercure Padang
467,Daru,PG,76.19,light rain,-9.08,143.21,New century hotel
474,Poso,ID,77.85,scattered clouds,-1.4,120.75,Hotel 77 Poso
476,Carroll,US,88.0,overcast clouds,39.55,-77.02,Best Western Westminster Hotel
477,Buala,SB,80.26,light rain,-8.14,159.59,Maringe Lagoon Lodge
492,Mattru,SL,75.6,light rain,7.62,-11.83,Boima Gbondo's Compound
497,San Patricio,MX,82.4,broken clouds,19.22,-104.7,Hotel Cabo Blanco
501,Kasongo,CD,80.82,few clouds,-4.45,26.67,Guest Hôtel
502,Banjar,ID,78.8,broken clouds,-8.19,114.97,The Hamsa Resort
504,Muroto,JP,82.18,clear sky,33.28,134.15,Oota Ryokan
505,Ternate,ID,79.41,broken clouds,0.8,127.4,Grand Dafam Bela Ternate
506,Bridgetown,BB,87.8,scattered clouds,13.1,-59.62,Hilton Barbados Resort
510,Labuhan,ID,77.09,scattered clouds,-6.88,112.21,bador sepret
515,Meadow Lake,US,86.0,clear sky,34.8,-106.54,JKL Inc. R.V Park and Storage
516,Puerto Escondido,MX,84.2,overcast clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
518,Denpasar,ID,78.8,broken clouds,-8.65,115.22,ASTON Denpasar Hotel & Convention Center
525,Namatanai,PG,77.58,overcast clouds,-3.67,152.43,Namatanai Hotel
527,Kloulklubed,PW,77.0,broken clouds,7.04,134.26,Storyboard Beach Resort
530,Alexandria,EG,82.4,scattered clouds,31.22,29.96,Royal Crown Hotel
531,Sola,VU,79.97,overcast clouds,-13.88,167.55,Leumerus Bungalows
536,Palimbang,PH,78.84,overcast clouds,6.21,124.19,Felmar Beach resort
537,Guerrero Negro,MX,89.11,few clouds,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
540,Kahului,US,78.8,scattered clouds,20.89,-156.47,Maui Seaside Hotel
542,Vanimo,PG,79.47,overcast clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
546,Santa Cruz Del Norte,CU,89.6,few clouds,23.15,-81.92,Rioger Art
547,Aswan,EG,89.83,clear sky,24.09,32.91,Nuba Nile
549,Tricase,IT,84.99,clear sky,39.93,18.36,Hotel Adriatico
553,Harrisburg,US,87.8,broken clouds,40.27,-76.88,Hilton Harrisburg
558,Tripoli,LY,80.92,clear sky,32.88,13.19,Al Waddan Hotel
559,Carutapera,BR,84.67,overcast clouds,-1.2,-46.02,Lidera
560,Chavantes,BR,83.34,clear sky,-23.04,-49.71,Hotel Philadelphia Chavantes
563,Bemidji,US,75.0,broken clouds,47.47,-94.88,Hampton Inn & Suites Bemidji
564,Kuroishi,JP,77.0,clear sky,40.64,140.59,Takara Onsen Kuroishi
569,Ilam,NP,78.8,thunderstorm,26.92,87.92,Chiyabari Cottage
571,Iranduba,BR,89.6,broken clouds,-3.28,-60.19,Evolução Ecolodge
573,Nacogdoches,US,90.0,few clouds,31.6,-94.63,The Fredonia Hotel & Convention Center
578,The Valley,AI,89.6,scattered clouds,18.22,-63.06,CeBlue Villas & Beach Resort
579,Saint Anthony,US,77.0,overcast clouds,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
580,Dogondoutchi,NE,84.16,overcast clouds,13.64,4.03,Hôtel Alheri Maison Alheri
585,Mitsamiouli,KM,75.2,scattered clouds,-11.38,43.28,Foyer ADM
587,Bac Lieu,VN,80.22,overcast clouds,9.29,105.72,Khách sạn Sài Gòn Bạc Liêu
591,Keokuk,US,86.0,clear sky,40.4,-91.38,Hampton Inn Keokuk
595,Benghazi,LY,80.51,clear sky,32.12,20.07,Tibesti Hotel
597,Garissa,KE,79.43,clear sky,-0.45,39.64,Sharif Plaza Hotel
599,Sri Aman,MY,77.0,moderate rain,1.24,111.46,Seri Simanggang Hotel
605,Jimalalud,PH,80.76,overcast clouds,9.98,123.2,Florence Place
608,Vung Tau,VN,81.9,overcast clouds,10.35,107.08,Seaside Resort
610,Khamanon,IN,80.6,broken clouds,30.82,76.35,Khamanon Bus Stand
611,Trairi,BR,84.07,scattered clouds,-3.28,-39.27,Pousada Field Lilies - Trairi
612,Kokkarion,GR,86.0,clear sky,37.78,26.89,Lemos Hotel
614,Amahai,ID,82.99,light rain,-3.33,128.92,Peternakan Ayam Bangkok Manisso
620,Pandan,PH,81.14,overcast clouds,14.05,124.17,Bonifacio Lodge
623,Tsevie,TG,78.8,few clouds,6.43,1.21,Hotel Melissa
628,Meulaboh,ID,76.78,overcast clouds,4.14,96.13,Kost Pria
631,Balabac,PH,82.56,overcast clouds,7.99,117.06,Sing and Swing Lodge
634,Florence,IT,87.8,clear sky,43.77,11.25,Italiana Hotels Florence
635,Srivardhan,IN,79.32,overcast clouds,18.03,73.02,Savli Resort/Hotel - Shrivardhan
637,Nanakuli,US,75.2,overcast clouds,21.39,-158.15,Camp Palehua
638,Muli,MV,82.53,overcast clouds,2.92,73.57,Medhufushi Island Resort
639,Grants,US,78.8,clear sky,35.15,-107.85,"Motel 6 Grants, NM"
641,Kavaratti,IN,82.38,overcast clouds,10.57,72.64,Bismillah Hotel And Lodging
644,Morogoro,TZ,80.6,few clouds,-6.82,37.67,Nashera Hotel
648,Luganville,VU,76.51,moderate rain,-15.53,167.17,The Espiritu Hotel
650,Conakry,GN,80.6,broken clouds,9.54,-13.68,Riviera Royal Hotel
651,Ponta Delgada,PT,77.0,few clouds,37.73,-25.67,Vila Nova Hotel
655,Tirat Karmel,IL,81.0,clear sky,32.76,34.97,Marom Hotel Haifa מלון מרום
656,Balkanabat,TM,79.77,clear sky,39.51,54.37,Nebitchi Hotel
660,Sur,OM,83.48,overcast clouds,22.57,59.53,Sur Plaza Hotel
662,Acapulco,MX,86.0,scattered clouds,16.86,-99.89,HS Hotsson Smart Acapulco
665,Minudasht,IR,82.4,clear sky,37.23,55.37,هتل قصر
672,Port-Gentil,GA,78.8,overcast clouds,-0.72,8.78,Fengshui Residence
677,Sao Jose Da Coroa Grande,BR,79.75,broken clouds,-8.9,-35.15,Crôa Mares Hotel
679,Coruripe,BR,78.04,overcast clouds,-10.13,-36.18,Pousada e Hotel Litoral Sul
681,Nantucket,US,75.2,clear sky,41.28,-70.1,Jared Coffin House
682,Hasaki,JP,79.0,few clouds,35.73,140.83,Inubosaki Kanko Hotel
686,Nabire,ID,76.57,light rain,-3.37,135.48,Hotel Nusantara Nabire
688,Dossor,KZ,79.05,overcast clouds,47.53,52.98,"Gostinitsa Orpk ""Nauryz"""
689,Shiraz,IR,86.0,few clouds,29.6,52.54,Shams Hotel
698,Jalu,LY,87.84,clear sky,29.03,21.55,Jalu Hotel
